Data,Normal (kWh),Horario Economico (kWh),Autoconsumo (kWh),Injecao na rede (kWh),Data_month,Data_day,Data_hour,temp,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,rain_1h,clouds_all,weather_description
2021-09-30,0.372,0.0,0.002,1,9,30,7,11.67,11.24,10.72,15.11,1026,90,1.71,0.0,2,7
2021-09-30,0.366,0.0,0.228,3,9,30,8,19.4,19.07,14.54,19.59,1026,64,1.86,0.0,0,7
2021-09-30,0.0,0.0,0.268,4,9,30,9,20.63,20.37,18.34,20.7,1026,62,1.03,0.0,25,6
2021-09-30,0.0,0.0,0.268,4,9,30,10,22.31,22.22,19.72,22.88,1026,62,0.73,0.0,84,1
2021-09-30,0.0,0.0,0.278,5,9,30,11,22.94,22.91,22.79,23.99,1026,62,0.48,0.0,30,6
2021-09-30,0.026,0.0,0.352,5,9,30,12,24.49,24.4,20.72,24.59,1025,54,0.62,0.0,65,1
2021-09-30,0.003,0.0,0.378,4,9,30,13,24.9,24.91,19.72,25.57,1024,56,1.21,0.0,89,2
2021-09-30,0.0,0.0,0.45,4,9,30,14,26.2,26.2,23.44,26.26,1024,51,2.17,0.0,24,8
2021-09-30,0.0,0.0,0.42,4,9,30,15,26.48,26.48,21.72,26.82,1023,49,3.05,0.0,19,8
2021-09-30,0.054,0.0,0.35,4,9,30,16,25.84,25.81,19.72,26.26,1023,51,3.27,0.0,0,7
2021-09-30,0.105,0.0,0.216,2,9,30,17,23.67,23.69,17.72,24.23,1023,61,2.81,0.0,1,7
2021-09-30,0.419,0.0,0.032,1,9,30,18,22.02,22.03,16.72,23.12,1023,67,2.29,0.0,55,1
2021-09-30,0.341,0.0,0.0,1,9,30,19,19.9,19.9,15.72,20.9,1023,75,1.65,0.0,96,2
2021-09-30,0.585,0.0,0.0,1,9,30,20,18.78,18.72,14.72,19.79,1023,77,1.08,0.0,98,2
2021-09-30,0.523,0.0,0.0,1,9,30,21,18.23,18.2,14.72,18.48,1024,80,1.56,0.0,98,2
2021-09-30,0.562,0.0,0.0,1,9,30,22,17.62,17.53,12.72,17.93,1023,80,1.32,0.0,100,2
2021-09-30,0.599,0.0,0.0,1,9,30,23,17.67,17.63,13.72,17.93,1023,82,2.06,0.0,100,2
2021-10-01,0.611,0.0,0.0,1,10,1,0,16.63,16.57,13.72,16.82,1023,85,1.23,0.0,99,2
2021-10-01,0.557,0.0,0.0,1,10,1,1,16.05,15.96,12.72,16.26,1023,86,1.87,0.0,92,2
2021-10-01,0.446,0.0,0.0,1,10,1,2,16.15,16.04,12.72,16.26,1022,85,1.49,0.0,93,2
2021-10-01,0.336,0.0,0.0,1,10,1,3,16.14,16.11,12.72,16.26,1022,88,1.5,0.0,14,8
2021-10-01,0.306,0.0,0.0,1,10,1,4,15.07,14.96,12.72,15.15,1022,89,1.1,0.0,60,1
2021-10-01,0.268,0.0,0.0,1,10,1,5,15.6,15.57,12.72,15.7,1022,90,1.35,0.0,86,2
2021-10-01,0.279,0.0,0.0,1,10,1,6,15.44,15.36,11.72,15.7,1022,89,1.24,0.0,92,2
2021-10-01,0.281,0.0,0.0,1,10,1,7,14.97,14.9,12.72,15.15,1022,91,1.06,0.0,98,2
2021-10-01,0.585,0.0,0.047,1,10,1,8,15.63,15.62,13.72,15.7,1023,91,1.18,0.0,99,2
2021-10-01,0.064,0.0,0.187,2,10,1,9,15.71,15.56,15.66,16.78,1023,85,1.24,0.0,94,2
2021-10-01,0.005,0.0,0.248,4,10,1,10,18.84,18.74,17.79,20.11,1023,75,2.09,0.0,98,2
2021-10-01,0.0,0.0,0.258,5,10,1,11,20.39,20.23,19.72,21.77,1023,67,2.19,0.0,100,2
2021-10-01,0.0,0.0,0.262,5,10,1,12,21.2,21.07,19.72,22.57,1023,65,2.66,0.0,78,1
2021-10-01,0.025,0.0,0.329,5,10,1,13,22.24,22.03,19.72,23.68,1023,58,2.66,0.0,77,1
2021-10-01,0.014,0.0,0.34,4,10,1,14,23.28,23.23,19.72,25.34,1022,60,2.66,0.0,97,2
2021-10-01,0.02,0.0,0.373,4,10,1,15,23.77,23.82,19.72,24.04,1022,62,3.46,0.0,100,2
2021-10-01,0.052,0.0,0.376,3,10,1,16,23.19,23.42,18.72,23.48,1022,71,3.44,0.0,100,2
2021-10-01,0.189,0.0,0.267,2,10,1,17,21.63,21.86,18.72,22.01,1021,77,3.05,0.0,100,2
2021-10-01,0.714,0.0,0.034,1,10,1,18,20.52,20.72,17.72,20.7,1022,80,2.5,0.0,100,2
2021-10-01,0.422,0.0,0.0,1,10,1,19,19.49,19.74,17.72,19.79,1022,86,1.45,0.0,100,2
2021-10-01,0.374,0.0,0.0,1,10,1,20,18.97,19.22,17.72,19.79,1022,88,0.85,0.0,100,2
2021-10-01,0.255,0.0,0.0,1,10,1,21,18.94,19.21,17.72,19.23,1022,89,0.97,0.0,100,2
2021-10-01,0.324,0.0,0.0,1,10,1,22,18.43,18.68,17.72,19.23,1021,90,1.58,0.0,100,2
2021-10-01,0.331,0.0,0.0,1,10,1,23,18.41,18.68,17.23,18.68,1020,91,1.11,0.0,100,2
2021-10-02,0.328,0.0,0.0,1,10,2,0,18.42,18.72,17.23,18.48,1020,92,1.55,0.0,100,2
2021-10-02,0.526,0.0,0.0,1,10,2,1,18.42,18.72,17.23,18.48,1020,92,1.92,0.0,100,2
2021-10-02,0.328,0.0,0.0,1,10,2,2,18.42,18.75,17.23,18.48,1019,93,2.33,0.0,100,2
2021-10-02,0.262,0.0,0.0,1,10,2,3,17.9,18.17,17.23,18.12,1018,93,2.32,0.0,100,2
2021-10-02,0.256,0.0,0.0,1,10,2,4,17.87,18.14,16.72,18.12,1018,93,2.32,0.0,100,2
2021-10-02,0.256,0.0,0.0,1,10,2,5,17.59,17.83,16.68,18.12,1017,93,2.95,0.0,100,2
2021-10-02,0.287,0.0,0.0,1,10,2,6,17.33,17.55,16.68,17.57,1017,93,3.2,0.0,100,2
2021-10-02,0.377,0.0,0.0,1,10,2,7,17.31,17.52,16.12,17.57,1017,93,3.55,0.0,100,2
2021-10-02,0.215,0.0,0.064,1,10,2,8,17.36,17.58,16.12,18.12,1017,93,3.78,0.0,100,2
2021-10-02,0.087,0.0,0.167,2,10,2,9,18.44,18.77,17.23,18.72,1017,93,3.57,0.0,100,2
2021-10-02,0.052,0.0,0.201,2,10,2,10,19.53,19.84,18.12,19.59,1016,88,4.74,0.0,96,2
2021-10-02,0.099,0.0,0.27,3,10,2,11,20.55,20.83,18.72,21.45,1016,83,5.41,0.0,99,2
2021-10-02,0.265,0.0,0.29,2,10,2,12,20.02,20.38,17.72,20.9,1015,88,5.52,1.0,100,3
2021-10-02,0.741,0.0,0.214,1,10,2,13,18.98,19.34,17.72,20.34,1015,92,6.18,0.0,100,2
2021-10-02,0.202,0.0,0.261,2,10,2,14,19.03,19.42,17.89,20.34,1014,93,6.23,0.0,100,2
2021-10-02,0.735,0.0,0.244,2,10,2,15,19.03,19.42,18.44,19.79,1013,93,6.55,1.0,100,3
2021-10-02,0.936,0.0,0.144,1,10,2,16,19.02,19.38,18.44,19.23,1012,92,6.72,1.0,100,3
2021-10-02,0.418,0.0,0.056,1,10,2,17,18.99,19.32,17.72,19.54,1011,91,6.66,1.0,100,3
2021-10-02,0.388,0.0,0.016,1,10,2,18,18.96,19.29,17.72,19.04,1011,91,6.68,0.0,100,2
2021-10-02,0.52,0.0,0.0,1,10,2,19,18.43,18.73,17.72,18.48,1011,92,6.86,1.0,100,3
2021-10-02,0.477,0.0,0.0,1,10,2,20,18.42,18.75,17.72,18.48,1010,93,7.14,1.0,100,3
2021-10-02,0.55,0.0,0.0,1,10,2,21,18.42,18.75,17.72,18.68,1010,93,7.37,2.0,100,4
2021-10-02,0.32,0.0,0.0,1,10,2,22,18.42,18.75,17.72,18.68,1009,93,7.54,3.0,100,4
2021-10-02,0.352,0.0,0.0,1,10,2,23,18.4,18.72,17.32,18.68,1008,93,8.4,3.0,100,4
2021-10-03,0.472,0.0,0.0,1,10,3,0,18.45,18.78,17.72,18.48,1007,93,7.86,4.0,100,4
2021-10-03,0.429,0.0,0.0,1,10,3,1,17.29,17.5,15.57,17.88,1007,93,5.26,7.0,100,5
2021-10-03,0.281,0.0,0.0,1,10,3,2,16.72,16.88,15.57,17.01,1008,93,4.84,5.0,100,5
2021-10-03,0.337,0.0,0.0,1,10,3,3,16.58,16.72,13.72,16.82,1009,93,3.45,2.0,97,4
2021-10-03,0.277,0.0,0.0,1,10,3,4,13.48,13.31,12.79,13.72,1009,93,3.39,1.0,72,3
2021-10-03,0.263,0.0,0.0,1,10,3,5,13.46,13.29,12.23,13.72,1010,93,3.76,0.0,51,1
2021-10-03,0.259,0.0,0.0,1,10,3,6,12.91,12.68,12.01,12.93,1011,93,3.3,0.0,39,6
2021-10-03,0.259,0.0,0.002,1,10,3,7,12.36,12.08,11.72,12.89,1012,93,2.47,0.0,40,6
2021-10-03,0.047,0.0,0.221,3,10,3,8,13.02,12.81,12.79,14.54,1013,93,2.26,0.0,32,6
2021-10-03,0.015,0.0,0.299,4,10,3,9,14.65,14.44,13.9,15.72,1014,87,3.25,0.0,23,8
2021-10-03,0.053,0.0,0.402,4,10,3,10,16.29,15.85,15.9,17.33,1016,72,2.31,0.0,45,6
2021-10-03,0.236,0.0,0.502,4,10,3,11,16.88,16.45,16.45,17.89,1016,70,3.08,0.0,46,6
2021-10-03,0.958,0.0,0.621,3,10,3,12,17.89,17.33,15.9,19.0,1017,61,3.73,0.0,33,6
2021-10-03,0.57,0.0,0.417,3,10,3,13,16.89,16.38,16.82,19.0,1017,67,3.61,0.0,28,6
2021-10-03,0.384,0.0,0.21,3,10,3,14,18.6,18.21,17.57,20.1,1017,65,4.55,0.0,29,6
2021-10-03,0.205,0.0,0.278,3,10,3,15,17.92,17.57,16.72,19.54,1018,69,4.75,0.0,36,6
2021-10-03,0.163,0.0,0.173,3,10,3,16,17.92,17.46,17.72,18.12,1019,65,3.84,0.0,18,8
2021-10-03,0.329,0.0,0.194,1,10,3,17,16.82,16.36,16.72,17.79,1019,69,2.93,0.0,0,7
2021-10-03,0.358,0.0,0.034,1,10,3,18,15.71,15.27,15.34,16.22,1020,74,1.77,0.0,7,7
2021-10-03,0.472,0.0,0.0,1,10,3,19,14.6,14.13,13.12,16.21,1021,77,2.25,0.0,100,2
2021-10-03,0.516,0.0,0.0,1,10,3,20,14.03,13.55,12.01,15.66,1021,79,1.69,0.0,100,2
2021-10-03,0.489,0.0,0.0,1,10,3,21,13.46,13.0,10.9,15.1,1021,82,0.91,0.0,100,2
2021-10-03,0.573,0.0,0.0,1,10,3,22,12.92,12.46,10.34,14.55,1022,84,1.41,0.0,100,2
2021-10-03,0.591,0.0,0.0,1,10,3,23,12.93,12.5,12.72,14.0,1022,85,0.35,0.0,100,2
2021-10-04,0.548,0.0,0.0,1,10,4,0,12.37,11.93,11.72,13.43,1022,87,0.56,0.0,100,2
2021-10-04,0.527,0.0,0.0,1,10,4,1,12.92,12.51,12.23,12.93,1022,86,0.62,0.0,86,2
2021-10-04,0.334,0.0,0.0,1,10,4,2,12.92,12.54,11.68,12.93,1022,87,0.72,0.0,100,2
2021-10-04,0.34,0.0,0.0,1,10,4,3,12.93,12.55,10.34,13.72,1022,87,0.77,0.0,95,2
2021-10-04,0.333,0.0,0.0,1,10,4,4,12.94,12.54,12.23,13.72,1022,86,0.71,0.0,81,1
2021-10-04,0.337,0.0,0.0,1,10,4,5,12.93,12.58,10.34,13.72,1022,88,0.59,0.0,94,2
2021-10-04,0.319,0.0,0.0,1,10,4,6,12.92,12.59,11.68,12.93,1022,89,0.93,0.0,97,2
2021-10-04,0.33,0.0,0.002,1,10,4,7,12.87,12.51,10.9,12.93,1023,88,1.16,0.0,78,1
2021-10-04,0.447,0.0,0.048,1,10,4,8,13.48,13.16,12.79,13.72,1023,87,1.54,0.0,70,1
2021-10-04,0.372,0.0,0.129,1,10,4,9,14.03,13.84,13.34,14.54,1023,90,2.07,0.0,69,1
2021-10-04,0.024,0.0,0.337,3,10,4,10,15.44,15.13,14.79,15.72,1023,80,2.08,0.0,96,2
2021-10-04,0.013,0.0,0.298,3,10,4,11,17.63,17.46,16.12,17.88,1022,77,2.52,0.0,89,2
2021-10-04,0.001,0.0,0.311,3,10,4,12,17.42,17.33,16.72,19.55,1023,81,3.09,0.0,99,2
2021-10-04,0.182,0.0,0.237,1,10,4,13,17.51,17.46,17.01,20.66,1023,82,3.3,0.0,99,2
2021-10-04,0.029,0.0,0.484,3,10,4,14,19.92,19.85,17.01,20.66,1022,72,3.33,0.0,71,1
2021-10-04,0.084,0.0,0.424,3,10,4,15,18.06,18.01,17.57,20.66,1022,80,3.06,0.0,57,1
2021-10-04,0.052,0.0,0.403,3,10,4,16,17.98,17.84,17.57,19.0,1022,77,3.39,0.0,41,6
2021-10-04,0.25,0.0,0.237,3,10,4,17,18.43,18.21,17.01,18.48,1022,72,3.12,0.0,69,1
2021-10-04,0.364,0.0,0.039,1,10,4,18,16.81,16.64,16.12,16.82,1022,80,2.29,0.0,93,2
2021-10-04,0.638,0.0,0.0,1,10,4,19,16.29,16.14,15.9,16.78,1022,83,2.09,1.0,100,3
2021-10-04,0.664,0.0,0.0,1,10,4,20,15.79,15.64,15.34,16.78,1022,85,2.21,0.0,99,2
2021-10-04,0.699,0.0,0.0,1,10,4,21,15.78,15.69,14.79,16.77,1023,87,2.61,0.0,100,2
2021-10-04,0.734,0.0,0.0,1,10,4,22,15.21,15.16,14.79,16.21,1023,91,1.97,0.0,99,2
2021-10-04,0.5,0.0,0.0,1,10,4,23,15.19,15.17,14.45,15.72,1022,92,2.66,0.0,100,2
2021-10-05,0.546,0.0,0.0,1,10,5,0,15.15,15.12,14.45,15.72,1022,92,3.17,0.0,100,2
2021-10-05,0.492,0.0,0.0,1,10,5,1,14.64,14.59,14.45,15.72,1021,93,3.35,1.0,100,3
2021-10-05,0.32,0.0,0.0,1,10,5,2,15.15,15.15,14.45,15.72,1021,93,3.29,1.0,100,3
2021-10-05,0.319,0.0,0.0,1,10,5,3,15.18,15.18,15.01,15.72,1020,93,2.93,1.0,100,3
2021-10-05,0.317,0.0,0.0,1,10,5,4,15.18,15.18,15.1,15.72,1020,93,2.4,1.0,100,3
2021-10-05,0.316,0.0,0.0,1,10,5,5,15.7,15.75,15.57,15.72,1020,93,1.87,1.0,100,3
2021-10-05,0.31,0.0,0.0,1,10,5,6,15.71,15.76,15.66,16.22,1020,93,1.53,0.0,100,2
2021-10-05,0.312,0.0,0.001,1,10,5,7,16.27,16.38,15.66,16.78,1021,93,1.43,0.0,100,2
2021-10-05,0.255,0.0,0.067,1,10,5,8,16.85,17.02,16.21,17.72,1022,93,1.81,0.0,100,2
2021-10-05,0.151,0.0,0.188,2,10,5,9,17.37,17.59,16.77,18.12,1022,93,2.59,0.0,100,2
2021-10-05,0.271,0.0,0.216,1,10,5,10,17.91,18.18,17.23,18.68,1023,93,3.38,0.0,100,2
2021-10-05,0.188,0.0,0.281,2,10,5,11,18.48,18.81,17.89,19.23,1023,93,3.09,0.0,97,2
2021-10-05,0.007,0.0,0.467,4,10,5,12,18.58,18.92,18.34,20.34,1023,93,3.17,0.0,97,2
2021-10-05,0.228,0.0,0.588,4,10,5,13,20.18,20.58,18.44,21.21,1023,89,3.5,0.0,100,2
2021-10-05,0.2,0.0,0.406,3,10,5,14,20.71,20.98,20.67,21.21,1023,82,3.64,0.0,98,2
2021-10-05,0.065,0.0,0.424,4,10,5,15,21.72,21.93,19.72,21.82,1023,76,3.36,0.0,97,2
2021-10-05,0.458,0.0,0.181,2,10,5,16,20.66,20.87,19.72,21.21,1023,80,2.89,0.0,83,1
2021-10-05,0.339,0.0,0.202,1,10,5,17,20.6,20.83,18.72,20.7,1023,81,2.52,0.0,43,6
2021-10-05,0.444,0.0,0.041,1,10,5,18,19.74,19.88,17.72,20.15,1023,81,1.78,0.0,19,8
2021-10-05,0.547,0.0,0.0,1,10,5,19,18.89,19.03,16.72,19.04,1024,84,1.76,0.0,21,8
2021-10-05,0.969,0.0,0.0,1,10,5,20,17.79,17.95,15.72,17.93,1024,89,1.51,0.0,13,8
2021-10-05,1.157,0.0,0.0,1,10,5,21,16.8,16.89,15.57,16.82,1024,90,1.42,0.0,5,7
2021-10-05,0.966,0.0,0.0,1,10,5,22,16.69,16.76,14.72,16.82,1025,90,1.16,0.0,22,8
2021-10-05,0.918,0.0,0.0,1,10,5,23,15.65,15.67,14.72,15.7,1025,92,1.19,0.0,38,6
2021-10-06,0.935,0.0,0.0,1,10,6,0,15.59,15.61,13.72,15.7,1025,92,1.36,0.0,87,2
2021-10-06,0.698,0.0,0.0,1,10,6,1,15.67,15.72,14.23,15.7,1025,93,1.49,0.0,84,1
2021-10-06,0.541,0.0,0.0,1,10,6,2,15.13,15.13,14.23,15.67,1024,93,1.38,0.0,86,2
2021-10-06,0.41,0.0,0.0,1,10,6,3,14.99,14.97,12.72,15.15,1024,93,1.78,0.0,79,1
2021-10-06,0.401,0.0,0.0,1,10,6,4,15.01,14.99,12.79,15.15,1024,93,1.69,0.0,35,6
2021-10-06,0.409,0.0,0.0,1,10,6,5,15.47,15.37,12.72,15.7,1024,88,1.74,0.0,30,6
2021-10-06,0.401,0.0,0.0,1,10,6,6,15.47,15.29,12.57,15.7,1024,85,2.0,0.0,30,6
2021-10-06,0.402,0.0,0.001,1,10,6,7,15.47,15.27,12.01,15.7,1024,84,1.96,0.0,11,8
2021-10-06,0.401,0.0,0.252,2,10,6,8,17.67,17.5,13.99,17.93,1024,77,2.25,0.0,2,7
2021-10-06,0.001,0.0,0.401,3,10,6,9,19.54,19.4,17.72,19.59,1025,71,1.72,0.0,0,7
2021-10-06,0.0,0.0,0.33,4,10,6,10,21.21,21.08,18.9,21.26,1025,65,0.97,0.0,0,7
2021-10-06,0.0,0.0,0.312,5,10,6,11,22.31,22.35,21.12,22.37,1024,67,1.05,0.0,0,7
2021-10-06,0.0,0.0,0.318,5,10,6,12,23.47,23.49,22.89,23.48,1024,62,0.87,0.0,0,7
2021-10-06,0.005,0.0,0.323,5,10,6,13,24.59,24.65,24.23,24.59,1023,59,0.53,0.0,0,7
2021-10-06,0.01,0.0,0.424,4,10,6,14,25.12,25.18,24.0,25.57,1023,57,0.28,0.0,0,7
2021-10-06,0.0,0.0,0.407,4,10,6,15,26.03,26.03,22.72,26.68,1022,56,0.99,0.0,0,7
2021-10-06,0.0,0.0,0.42,3,10,6,16,26.53,26.53,22.72,26.82,1022,55,1.37,0.0,0,7
2021-10-06,0.344,0.0,0.256,1,10,6,17,24.95,25.09,21.72,25.15,1022,61,1.31,0.0,0,7
2021-10-06,1.276,0.0,0.018,1,10,6,18,23.44,23.59,21.78,23.48,1022,67,1.58,0.0,0,7
2021-10-06,0.697,0.0,0.0,1,10,6,19,22.32,22.51,20.57,22.37,1022,73,1.83,0.0,0,7
2021-10-06,0.47,0.0,0.0,1,10,6,20,21.22,21.25,19.23,21.26,1022,71,2.01,0.0,0,7
2021-10-06,0.516,0.0,0.0,1,10,6,21,17.67,17.74,15.72,20.11,1022,86,2.2,0.0,0,7
2021-10-06,0.395,0.0,0.0,1,10,6,22,20.41,20.26,15.72,20.7,1022,67,2.09,0.0,0,7
2021-10-06,0.486,0.0,0.0,1,10,6,23,19.95,19.78,16.45,20.67,1022,68,1.82,0.0,0,7
2021-10-07,0.601,0.0,0.0,1,10,7,0,19.41,19.21,15.34,20.11,1022,69,1.8,0.0,0,7
2021-10-07,0.369,0.0,0.0,1,10,7,1,16.98,16.98,14.79,19.0,1022,86,1.93,0.0,0,7
2021-10-07,0.311,0.0,0.0,1,10,7,2,17.99,18.06,14.23,19.0,1022,85,2.09,0.0,0,7
2021-10-07,0.309,0.0,0.0,1,10,7,3,18.3,18.43,17.32,19.0,1022,86,2.23,0.0,0,7
2021-10-07,0.311,0.0,0.0,1,10,7,4,17.6,17.66,17.32,18.34,1021,86,2.3,0.0,7,7
2021-10-07,0.309,0.0,0.0,1,10,7,5,15.62,15.51,14.72,18.9,1021,87,2.33,0.0,1,7
2021-10-07,0.409,0.0,0.0,1,10,7,6,16.26,16.19,15.72,18.34,1021,86,2.3,0.0,0,7
2021-10-07,0.412,0.0,0.001,1,10,7,7,15.58,15.44,14.72,17.79,1021,86,2.34,0.0,0,7
2021-10-07,0.241,0.0,0.244,2,10,7,8,18.64,18.67,18.43,19.0,1022,81,2.77,0.0,0,7
2021-10-07,0.026,0.0,0.327,4,10,7,9,21.53,21.07,20.11,22.32,1022,51,2.18,0.0,0,7
2021-10-07,0.0,0.0,0.331,4,10,7,10,23.48,23.16,21.68,23.72,1022,49,1.83,0.0,0,7
2021-10-07,0.0,0.0,0.325,5,10,7,11,24.86,24.63,23.34,25.15,1022,47,1.76,0.0,0,7
2021-10-07,0.0,0.0,0.325,5,10,7,12,26.24,26.24,25.01,26.26,1021,35,1.02,0.0,0,7
2021-10-07,0.236,0.0,0.499,4,10,7,13,27.36,27.03,25.9,27.72,1021,38,0.78,0.0,0,7
2021-10-07,0.507,0.0,0.64,4,10,7,14,27.22,26.87,24.72,27.79,1020,37,1.25,0.0,0,7
2021-10-07,0.0,0.0,0.385,4,10,7,15,27.89,27.44,26.77,27.93,1020,38,2.02,0.0,0,7
2021-10-07,0.0,0.0,0.33,3,10,7,16,27.14,27.13,23.72,27.37,1020,43,2.49,0.0,0,7
2021-10-07,0.092,0.0,0.238,2,10,7,17,25.64,25.64,23.44,25.7,1019,53,2.15,0.0,1,7
2021-10-07,0.437,0.0,0.017,1,10,7,18,23.99,24.14,21.78,24.04,1020,65,2.01,0.0,3,7
2021-10-07,0.684,0.0,0.0,1,10,7,19,22.32,22.44,20.11,22.37,1020,70,2.03,0.0,0,7
2021-10-07,0.75,0.0,0.0,1,10,7,20,21.22,21.3,18.9,21.26,1020,73,1.98,0.0,0,7
2021-10-07,0.682,0.0,0.0,1,10,7,21,20.66,20.77,18.12,20.7,1020,76,1.92,0.0,0,7
2021-10-07,0.573,0.0,0.0,1,10,7,22,20.1,20.18,17.01,20.15,1020,77,1.98,0.0,3,7
2021-10-07,0.577,0.0,0.0,1,10,7,23,19.57,19.62,14.72,20.15,1020,78,1.78,0.0,0,7
2021-10-08,0.426,0.0,0.0,1,10,8,0,19.28,19.3,14.72,19.59,1020,78,1.66,0.0,0,7
2021-10-08,0.376,0.0,0.0,1,10,8,1,19.92,19.74,12.72,20.15,1020,68,1.67,0.0,19,8
2021-10-08,0.379,0.0,0.0,1,10,8,2,15.89,15.91,15.01,16.22,1019,91,1.71,0.0,6,7
2021-10-08,0.353,0.0,0.0,1,10,8,3,19.36,19.21,12.72,19.59,1019,71,1.71,0.0,3,7
2021-10-08,0.334,0.0,0.0,1,10,8,4,13.69,13.57,12.72,15.66,1019,94,1.76,0.0,0,7
2021-10-08,0.333,0.0,0.0,1,10,8,5,13.35,13.2,12.72,15.1,1019,94,1.74,0.0,0,7
2021-10-08,0.319,0.0,0.0,1,10,8,6,13.94,13.84,13.72,14.55,1019,94,1.85,0.0,0,7
2021-10-08,0.344,0.0,0.0,1,10,8,7,13.2,13.06,12.72,14.55,1019,95,1.74,0.0,0,7
2021-10-08,0.356,0.0,0.214,2,10,8,8,15.39,15.31,14.72,17.23,1019,89,2.12,0.0,0,7
2021-10-08,0.0,0.0,0.323,4,10,8,9,23.04,22.99,18.72,23.48,1020,61,1.39,0.0,0,7
2021-10-08,0.0,0.0,0.32,4,10,8,10,23.16,23.18,21.68,23.48,1020,63,0.57,0.0,0,7
2021-10-08,0.0,0.0,0.325,5,10,8,11,24.55,24.63,22.72,25.66,1020,60,0.24,0.0,0,7
2021-10-08,0.0,0.0,0.33,5,10,8,12,25.62,25.65,22.72,25.7,1020,54,0.37,0.0,0,7
